p [bar],q [mmol g-1]
0.2,0.655822554
0.4,1.055527659
0.6,1.351656658
0.8,1.582172997
1,1.780249437
1.2,1.96629101
1.4,2.112607039
1.6,2.254757374
1.8,2.401644645
2,2.508843227
4,3.441681956
8,4.61406519
12,5.390209933
16,6.024536799
20,6.446352599
24,6.719519029
28,6.906695409
32,7.073142364
36,7.123367561
40,7.129438165
44,7.079671344
48,7.064264686
52,7.004637404
56,6.932812865
60,6.807061568
