p [bar],q [mmol g-1]
0.2,0.062160635
0.4,0.13879774
0.6,0.209959668
0.8,0.27459684
1,0.31606644
1.2,0.374491732
1.4,0.425222525
1.6,0.477647083
1.8,0.508436213
2,0.555615935
4,0.920348173
8,1.365601042
12,1.679518412
16,1.885030987
20,2.067900398
24,2.19059739
28,2.288951693
32,2.382656589
36,2.449988735
40,2.498351636
44,2.536962719
48,2.587899283
52,2.608997636
56,2.625221616
60,2.635999596
