p [bar],q [mmol g-1]
0.2,0.293364154
0.4,0.522769872
0.6,0.718656549
0.8,0.862989353
1,1.005964688
1.2,1.136409925
1.4,1.248497467
1.6,1.33995847
1.8,1.437488157
2,1.522077741
4,2.165060774
8,2.92103121
12,3.431540097
16,3.796498067
20,4.07766458
24,4.324163042
28,4.499068457
32,4.639860938
36,4.814246936
40,4.938760541
44,4.996621501
48,5.127531256
52,5.186365785
56,5.210098457
60,5.241467275
