p [bar],q [mmol g-1]
0.2,0.148123812
0.4,0.290117132
0.6,0.409738704
0.8,0.500104441
1,0.604699416
1.2,0.699105312
1.4,0.785630518
1.6,0.847573866
1.8,0.923152559
2,0.994865767
4,1.482777174
8,2.088947309
12,2.478472932
16,2.756926427
20,2.977917449
24,3.133420579
28,3.284954187
32,3.407528714
36,3.491975104
40,3.541130757
44,3.629696005
48,3.660676317
52,3.709588194
56,3.740439132
60,3.765124258
