p [bar],q [mmol g-1]
0.2,2.160622895
0.4,3.07743612
0.6,3.812237182
0.8,4.4612555
1,5.002963906
1.2,5.484426567
1.4,5.953176778
1.6,6.368223277
1.8,6.648876516
2,6.979610991
4,8.332056178
8,8.911668141
12,8.997201734
16,9.095938017
20,8.979960804
24,9.218802005
28,9.240201335
32,9.382141293
36,9.346179116
40,9.276532055
44,9.244542088
48,9.298356362
52,8.950043126
56,9.027929824
60,8.471270833
