p [bar],q [mmol g-1]
0.02,0
0.59,0.17
1.07,0.29
2.48,0.57
5.15,0.84
5.15,0.85
19.99,1.94
40.05,2.87
60.24,3.67
15.16,1.67
7.53,1.09
