p [bar],q [mmol g-1]
0.01,0
0.41,0.97
0.43,0.96
1.01,1.44
2.73,2.33
5.05,2.66
19.66,4.44
40.23,6.04
59.33,7.04
15.29,3.95
7.49,2.93
